key,0,1,2,3,4
#,,,,,
offset,12,13,8,0,4
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"Enhanced Phantom Guard","Improves <hex:024804F201F403><hex:024904F201F503>Phantom Guard<hex:0249020103><hex:0248020103>'s damage reduction effect to 90%."
2,1,5,82202,"Enhanced Pray","Increases the healing potency of <hex:024804F201F403><hex:024904F201F503>Pray<hex:0249020103><hex:0248020103> to 5,000."
3,2,3,82203,"Enhanced Rage","Grants the effect of <hex:024804F201FA03><hex:024904F201FB03>Pent-up Rage<hex:0249020103><hex:0248020103>, increasing the potency of <hex:024804F201F403><hex:024904F201F503>Deadly Blow<hex:0249020103><hex:0248020103> based on the amount of damage you have taken while the effect is active.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103>15s"
4,3,4,82204,"Enhanced Phantom Kick","Improves <hex:024804F201F403><hex:024904F201F503>Phantom Kick<hex:0249020103><hex:0248020103>'s damage increase to 7%."
5,3,6,82205,"Enhanced Phantom Kick II","Improves <hex:024804F201F403><hex:024904F201F503>Phantom Kick<hex:0249020103><hex:0248020103>'s damage increase to 9%."
6,4,3,82206,"Enhanced Phantom Aim","Improves <hex:024804F201F403><hex:024904F201F503>Phantom Aim<hex:0249020103><hex:0248020103>'s critical hit rate and direct hit rate increase to 30%, and guarantees all attacks land."
7,4,5,82207,"Enhanced Phantom Aim II","Improves <hex:024804F201F403><hex:024904F201F503>Phantom Aim<hex:0249020103><hex:0248020103>'s critical hit rate and direct hit rate increase to 50%, and guarantees all attacks land."
8,5,5,82208,"Enhanced Iainuki","Increases the potency of <hex:024804F201F403><hex:024904F201F503>Iainuki<hex:0249020103><hex:0248020103> to 500, and increases chance to instantly kill target to 10%."
9,6,2,82209,"Enhanced Vocals","Increases the effectiveness of songs in accordance with your Phantom Bard level."
10,12,6,82212,"Lockpicker","Allows you to open locked doors in dungeons."
11,9,5,82211,"Enhanced Phantom Fire","Grants a 5% chance to instantly kill targets when executing <hex:024804F201F403><hex:024904F201F503>Phantom Fire<hex:0249020103><hex:0248020103>, with some exceptions."
12,7,5,82210,"Enhanced Bell","Increases the effectiveness of <hex:024804F201F403><hex:024904F201F503>Battle Bell<hex:0249020103><hex:0248020103> to 5%, and increases the healing potency of <hex:024804F201F403><hex:024904F201F503>Ringing Respite<hex:0249020103><hex:0248020103> to 3,000."
13,16,5,82213,"First Strike","Grants <hex:024804F201FA03><hex:024904F201FB03>First Strike<hex:0249020103><hex:0248020103> when entering combat.<hex:02100103><hex:024804F201F803><hex:024904F201F903>First Strike Effect: <hex:0249020103><hex:0248020103>Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are reduced<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103>25s"
14,19,4,82214,"Enhanced Occult Jump","Increases potency of <hex:024804F201F403><hex:024904F201F503>Occult Jump<hex:0249020103><hex:0248020103> to 500, and increases potency of reduced damage taken effect to 90%."
15,21,1,82215,"Occult Learning I","<hex:024804F201F403><hex:024904F201F503>Occult Missile<hex:0249020103><hex:0248020103> and <hex:024804F201F403><hex:024904F201F503>Occult Aqua Breath<hex:0249020103><hex:0248020103> are now learnable actions.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Missile Effect: <hex:0249020103><hex:0248020103>Delivers an attack with a 35% chance to deal damage equal to 75% of target's current HP, with some exceptions<hex:02100103><hex:024804F201F803><hex:024904F201F903>Occult Aqua Breath Effect: <hex:0249020103><hex:0248020103>Deals unaspected damage to target and all enemies nearby it"
16,21,2,82216,"Occult Learning II","<hex:024804F201F403><hex:024904F201F503>Occult Aero II<hex:0249020103><hex:0248020103> and <hex:024804F201F403><hex:024904F201F503>Occult Mighty Guard<hex:0249020103><hex:0248020103> are now learnable actions.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Occult Aero II Effect: <hex:0249020103><hex:0248020103>Deals wind damage to target<hex:02100103><hex:024804F201F803><hex:024904F201F903>Occult Mighty Guard Effect: <hex:0249020103><hex:0248020103>Reduces damage taken by self and nearby party members by 20%"
17,21,3,82217,"Occult Learning III","<hex:024804F201F403><hex:024904F201F503>Occult White Wind<hex:0249020103><hex:0248020103> is now a learnable action.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Occult White Wind Effect: <hex:0249020103><hex:0248020103>Restores own HP and the HP of all nearby party members by an amount equal to your current HP<hex:02100103>If <hex:024804F201F403><hex:024904F201F503>Occult Aero II<hex:0249020103><hex:0248020103> has already been learned, <hex:024804F201F403><hex:024904F201F503>Occult Aero III<hex:0249020103><hex:0248020103> can also be learned.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Occult Aero III Effect: <hex:0249020103><hex:0248020103>Deals wind damage to target and all enemies nearby it"
18,22,6,82218,"Dualcast","Grants the effect of <hex:024804F201FA03><hex:024904F201FB03>Dualcast<hex:0249020103><hex:0248020103> upon casting any spell with a cast time. While under the effect of <hex:024804F201FA03><hex:024904F201FB03>Dualcast<hex:0249020103><hex:0248020103>, your next spell will require no time to cast. Effect is canceled upon execution of any action other than an ability. Auto-attacks do not cancel effect.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duration: <hex:0249020103><hex:0248020103>15s"
19,0,24,82219,"Adaptable","Allows the changing of phantom jobs when normally prohibited, as well as during combat."
