key,0,1
#,,
offset,0,4
int32,str,str
0,"Slay a Turali ratel",""
1,"Slay a megamaguey",""
2,"Slay a longjaw",""
3,"Slay a Chirwagur engraver",""
4,"Receive highest rating possible in FATEs: <hex:022003E80203>/<hex:022003E80303>",""
5,"Slay an uolon",""
6,"Slay an ocelot",""
7,"Slay a paper wasp",""
8,"Slay a lesser apollyon",""
9,"Receive highest rating possible in FATEs: <hex:022003E80203>/<hex:022003E80303>",""
10,"Slay a vawtsaral br'aax",""
11,"Slay a t'ohsoq",""
12,"Slay a branchbearer",""
13,"Slay a blue leafkin",""
14,"Receive highest rating possible in FATEs: <hex:022003E80203>/<hex:022003E80303>",""
15,"Slay a tumbleclaw",""
16,"Slay a ceratoraptor",""
17,"Slay a rroneek",""
18,"Slay a nopalitender",""
19,"Receive highest rating possible in FATEs: <hex:022003E80203>/<hex:022003E80303>",""
20,"Slay a cauahealoa",""
21,"Slay a katobleps",""
22,"Slay a gomphotherium",""
23,"Slay a woolback",""
24,"Receive highest rating possible in FATEs: <hex:022003E80203>/<hex:022003E80303>",""
25,"Slay an acrocat",""
26,"Slay a matchlock scorpion",""
27,"Slay an everlasting yew",""
28,"Slay a fluid soul",""
29,"Receive highest rating possible in FATEs: <hex:022003E80203>/<hex:022003E80303>",""
30,"Clear <hex:022814FF10>InstanceContent<hex:5F0403>",""
31,"Clear <hex:022814FF10>InstanceContent<hex:5D0403>",""
32,"Clear <hex:022814FF10>InstanceContent<hex:610403>",""
33,"Clear <hex:022814FF10>InstanceContent<hex:620403>",""
34,"Clear <hex:022814FF10>InstanceContent<hex:5E0403>",""
35,"Clear <hex:022814FF10>InstanceContent<hex:600403>",""
36,"Clear <hex:022814FF10>InstanceContent<hex:630403>","Available after completing the sidequest “It Belongs in a Museum.”"
37,"Clear <hex:02401AFF18><hex:022814FF10>InstanceContent<hex:640403><hex:03>","Available after completing the sidequest “Something Stray in the Neighborhood.”"
38,"Clear <hex:022814FF10>InstanceContent<hex:650403>","Available after progressing to a certain point in the main scenario."
39,"Clear <hex:022814FF10>InstanceContent<hex:660403>","Available after progressing to a certain point in the main scenario."
40,"Clear <hex:022814FF10>InstanceContent<hex:670403>","Available after progressing to a certain point in the main scenario."
41,"Clear <hex:022814FF10>InstanceContent<hex:680403>","Available after progressing to a certain point in the main scenario."
42,"Clear <hex:022814FF10>InstanceContent<hex:690403>","Available after progressing to a certain point in the main scenario."
43,"Clear <hex:022816FF10>InstanceContent<hex:F275C00403>","Available after completing the Chronicles of a New Era quest “An Otherworldly Encounter.”"
44,"Clear <hex:022816FF10>InstanceContent<hex:F275C90403>","Available after completing the Chronicles of a New Era quest “Dreams of Paradise.”"
45,"Clear <hex:022816FF10>InstanceContent<hex:F275D30403>","Available after completing the Chronicles of a New Era quest “The Hollow Promise.”"
46,"Clear <hex:022816FF10>InstanceContent<hex:F24E7D0403>",""
47,"Clear <hex:022816FF10>InstanceContent<hex:F24E800403>",""
48,"Clear <hex:022816FF10>InstanceContent<hex:F24E7F0403>",""
49,"Clear <hex:022816FF10>InstanceContent<hex:F24E840403>","Available after progressing to a certain point in the main scenario."
50,"Clear <hex:022816FF10>InstanceContent<hex:F24E880403>","Available after progressing to a certain point in the main scenario."
51,"Clear <hex:022816FF10>InstanceContent<hex:F24E8A0403>","Available after progressing to a certain point in the main scenario."
52,"Clear <hex:022816FF10>InstanceContent<hex:F24E8C0403>","Available after progressing to a certain point in the main scenario."
53,"Clear AAC Light-heavyweight M1","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
54,"Clear AAC Light-heavyweight M2","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
55,"Clear AAC Light-heavyweight M3","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
56,"Clear AAC Light-heavyweight M4","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
57,"Clear AAC Cruiserweight M1","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
58,"Clear AAC Cruiserweight M2","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
59,"Clear AAC Cruiserweight M3","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
60,"Clear AAC Cruiserweight M4","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
61,"Clear AAC Heavyweight M1","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
62,"Clear AAC Heavyweight M2","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
63,"Clear AAC Heavyweight M3","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
64,"Clear AAC Heavyweight M4","Available after progressing to a certain point in the Chronicles of a New Era quest series beginning with “A New Challenger Appears.”"
