key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
offset,54,52,12,36,4,8,38,40,0,16,20,24,28,32,42,44,46,48,50,54,54,53
int32,bit&01,byte,int32,uint16,uint32,uint32,uint16,uint16,str,int32,int32,int32,int32,int32,int16,int16,int16,int16,int16,bit&02,bit&04,sbyte
0,False,0,0,0,0,0,0,0,"",0,0,0,0,0,255,255,255,255,255,False,False,-1
1,False,1,0,999,81000,0,256,256,"円形白無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
2,False,1,0,999,81000,0,256,256,"円形白タイルフィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
3,False,1,0,999,81000,0,256,256,"円形グレー無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
4,True,1,0,1,240001,0,256,256,"Círculo Ajedrezado",1,2,3,0,0,255,255,255,255,255,False,False,-1
5,False,1,0,999,81000,0,256,256,"四角形白無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
6,False,1,0,999,81000,0,256,256,"四角形白タイルフィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
7,False,1,0,999,81000,0,256,256,"四角形グレー無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
8,True,1,0,2,240002,0,256,256,"Cuadro Ajedrezado",1,2,3,0,0,255,255,255,255,255,False,False,-1
9,True,6,0,101,240212,0,512,512,"ÁdE Circular",12,2,3,0,0,255,255,255,255,255,False,False,-1
10,True,6,0,102,240212,0,512,512,"ÁdE de Abanico",12,2,3,6,0,255,255,255,255,255,True,True,-1
11,True,6,0,103,240303,0,128,128,"ÁdE Líneal",4,5,2,3,0,255,255,255,255,255,False,False,10
12,True,4,0,999,240305,0,256,6,"Línea",2,3,11,0,0,255,255,6,255,255,False,False,10
13,True,6,0,105,240201,0,128,128,"Mirada",1,2,3,0,0,255,255,255,255,255,False,False,-1
