key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSMKDENTRANCE_00929_Q1_000_000","What would you like to do?"
1,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT","Journey to <hex:02281CFF17>ContentFinderCondition<hex:E8022C03>."
2,"TEXT_CTSMKDENTRANCE_00929_A1_000_001","Ask for more information."
3,"TEXT_CTSMKDENTRANCE_00929_A1_000_002","Nothing."
4,"TEXT_CTSMKDENTRANCE_00929_A1_000_003","Review your knowledge level and currencies."
5,"TEXT_CTSMKDENTRANCE_00929_A1_000_004","Review your phantom jobs."
6,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_SOUTH","Journey to <hex:02281CFF17>ContentFinderCondition<hex:E8022C03>?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※If your knowledge level is above 20, it will be synced.<hex:0249020103><hex:0248020103>"
7,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION","Journey to <hex:02281CFF17>ContentFinderCondition<hex:E8022C03>?"
8,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_HARD","Journey to <hex:02281CFF17>ContentFinderCondition<hex:E8022C03>?"
9,"TEXT_CTSMKDENTRANCE_00929_A1_000_005","Yes."
10,"TEXT_CTSMKDENTRANCE_00929_A1_000_006","No."
