key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_000","Amongst other personal effects, you find what is presumably the director's data tablet. A closed locker stands next to the table."
1,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q1_000_000","What will you do?"
2,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_001","Examine the data tablet."
3,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_002","Search the locker."
4,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_001","Upon activating the device, a newly accessible section, titled “Memory Duplication,” catches your eye."
5,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q2_000_000","Which section will you read?"
6,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_001","Daily reports."
7,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_002","Shutdown protocols."
8,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_003","Cancel."
9,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_004","Memory duplication."
10,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_002","(-General Daily Report-)<hex:021A020203>Nothing of note. The mystery of the key's activation condition remains unsolved.<hex:021A020103>"
11,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_003","(-General Daily Report-)<hex:021A020203>The key triggered an explosion today. Temporary interdimensional portal verified. Continue attempts to stabilize the core's energy reactions.<hex:021A020103>"
12,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_004","(-General Daily Report-)<hex:021A020203>Thirteen researchers sustained fatal injuries in the explosion. Memory faculties of four personnel sufficiently intact for Endless conversion. Remaining nine designated for aether reclamation processing.<hex:021A020103>"
13,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_005","(-General Daily Report-)<hex:021A020203>Nothing of note. Rejected resignations of two Milalla researchers.<hex:021A020103>"
14,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_006","(-General Daily Report-)<hex:021A020203>Major incident. Details in full report.<hex:021A020103>"
15,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_007","(-Draft Document-)<hex:021A020203>Those two inept Milalla broke with Preservation and absconded with the key. Though the fugitives have since been caught and eliminated, we were too late to recover the relic.<hex:021A020103>"
16,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_008","(-Draft Document-)<hex:021A020203>The only reason we retained our flesh was to serve Master Calyx as physical instruments to conduct his experiments.<hex:021A020103>"
17,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_009","(-Draft Document-)<hex:021A020203>Deprived of the object of our research, our existence serves no further purpose. I dare not imagine the depths of his disappointment in me.<hex:021A020103>"
18,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_010","(-Draft Document-)<hex:021A020203>The complex is to be shut down. All personnel will have their bodies reduced to aether, which will be allocated for further experimentation.<hex:021A020103>"
19,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_011","(-Draft Document-)<hex:021A020203>Memory data will be archived. Any Endless conversions will be subject to Master Calyx's discretion. If he does not deem us fit, then we are not deserving of eternal life.<hex:021A020103>"
20,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_012","(-Shutdown Protocols-)<hex:021A020203>All personnel have undergone processing. Once the shutdown protocols have been completed, I will proceed with my own corporeal dissolution.<hex:021A020103>"
21,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_013","(-Shutdown Protocols-)<hex:021A020203>As long as the key remains in the physical world, we must keep this complex in pristine condition. Whether it be needed for experiments or otherwise, it must be ready to support future operations in whatever capacity Master Calyx requires.<hex:021A020103>"
22,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_014","(-Shutdown Protocols-)<hex:021A020203>To that end, facility equipment will be maintained in “stasis” mode. Furthermore, a critical component for secure room access will be stored separately to defend against unauthorized entry.<hex:021A020103>"
23,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_015","The door to the locker swings open easily..."
24,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_016","...It contains nothing of note. You quietly shut the locker door."
25,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_020","(-Memory Duplication-)<hex:021A020203>It is well known that the Alexandrian royal family promulgated a number of fundamental principles governing Endless research.<hex:021A020103>"
26,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_021","(-Memory Duplication-)<hex:021A020203>Among these was the strict prohibition on memory duplication.<hex:021A020103>"
27,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_022","(-Memory Duplication-)<hex:021A020203>However, in the wake of the Storm Surge, the provisional government sought to revise this prohibition and make one key exception: Queen Sphene.<hex:021A020103>"
28,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_023","(-Memory Duplication-)<hex:021A020203>The decision was ultimately made to equip her Endless counterpart with a tiara-variant regulator, thereby enabling the routine backup of her memories.<hex:021A020103>"
29,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_024","(-Memory Duplication-)<hex:021A020203>Intriguingly, it was Master Calyx who objected most strenuously to this proposal.<hex:021A020103>"
30,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_025","(-Memory Duplication-)<hex:021A020203>It was his assertion that one's corporeal form─whether flesh and blood or Endless construct─is nothing more than a vessel, and that as a vessel, it is to be modified and experimented upon should circumstances require it.<hex:021A020103>"
31,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_026","(-Memory Duplication-)<hex:021A020203>Memory, however, was sacrosanct and inviolable. The very essence of life and personhood.<hex:021A020103>"
32,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_027","(-Memory Duplication-)<hex:021A020203>When Master Calyx eventually acquiesced to the provisional government's request, a number of this facility's personnel duplicated their memories to verify the efficacy of the technology.<hex:021A020103>"
