key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_KINGKW304_05505_SEQ_00","Lydirceil appears somewhat flummoxed by Gerolt's latest idea.<hex:02100103>※Changing classes or jobs will prevent progress during this quest."
1,"TEXT_KINGKW304_05505_SEQ_01","Puzzled as to what Gerolt means by channeling memories into the phantom weapon, Lydirceil presses the weaponsmith for details. Gerolt's thinking is thus: an armament's true power is unleashed through the process of acclimatization between weapon and wielder, whereby imperfections are overcome and quirks mastered. Your phantom weapon, however, is utterly flawless, which obviates the need for acclimatization, but also precludes the benefits this brings. By utilizing your martial memories, he hopes to reverse engineer this process, allowing your phantom weapon to attain its ultimate potential. According to Brigid, only the most recent of memories will suffice, and thus you find yourself bound for distant battlegrounds once again.<hex:02100103><hex:02100103>The memories themselves are to be stored in a currently empty knowledge crystal given to you by Dodokkuli. Once it is filled to the brim, Gerolt can begin the long-awaited final phase of enhancement.<hex:02100103><hex:02100103>You may use the knowledge crystal to gauge your progress and verify which duties and field operations are applicable.<hex:02100103><hex:02100103>※You may not proceed with a class or job that is different from when you accepted this quest.<hex:02100103><hex:02100103>※Speak to Lydirceil if you wish to abandon this quest."
2,"TEXT_KINGKW304_05505_SEQ_02","After generating a multitude of martial memories, you deliver the knowledge crystal to Gerolt, who uses some spare ecliptic arcanite to ensure the memories bind correctly. From here, Brigid takes over, completing the process with aplomb, and adjusting your armament's attributes to your exact specifications. After countless errands, experiments, and life-endangering forays into the wilds near and far, your phantom weapon has finally attained its pinnacle of potency. This unique facet of the isle's arcane environment and your very own recollections will no doubt serve you faithfully in battles to come. Should you wish to further tinker with its properties, Brigid will be glad to oblige.<hex:02100103><hex:02100103>※To unlock the next quest, you must complete the sidequest “Wisdom's End.”"
3,"TEXT_KINGKW304_05505_SEQ_03",""
4,"TEXT_KINGKW304_05505_SEQ_04",""
5,"TEXT_KINGKW304_05505_SEQ_05",""
6,"TEXT_KINGKW304_05505_SEQ_06",""
7,"TEXT_KINGKW304_05505_SEQ_07",""
8,"TEXT_KINGKW304_05505_SEQ_08",""
9,"TEXT_KINGKW304_05505_SEQ_09",""
10,"TEXT_KINGKW304_05505_SEQ_10",""
11,"TEXT_KINGKW304_05505_SEQ_11",""
12,"TEXT_KINGKW304_05505_SEQ_12",""
13,"TEXT_KINGKW304_05505_SEQ_13",""
14,"TEXT_KINGKW304_05505_SEQ_14",""
15,"TEXT_KINGKW304_05505_SEQ_15",""
16,"TEXT_KINGKW304_05505_SEQ_16",""
17,"TEXT_KINGKW304_05505_SEQ_17",""
18,"TEXT_KINGKW304_05505_SEQ_18",""
19,"TEXT_KINGKW304_05505_SEQ_19",""
20,"TEXT_KINGKW304_05505_SEQ_20",""
21,"TEXT_KINGKW304_05505_SEQ_21",""
22,"TEXT_KINGKW304_05505_SEQ_22",""
23,"TEXT_KINGKW304_05505_SEQ_23",""
24,"TEXT_KINGKW304_05505_TODO_00","With <hex:0208F20291E4E80514FF2A><hex:02310DFF05>Item<hex:03F2C722020203> and <hex:02100103><hex:02310DFF05>Item<hex:03F2C737020203><hex:FFF2025E><hex:0208F20258E4E80515FF11><hex:02310DFF05>Item<hex:03F2C723020203><hex:FFF2023E><hex:0208F20238E4E80516FF11><hex:02310DFF05>Item<hex:03F2C724020203><hex:FFF2021E><hex:0208F20218E4E80517FF11><hex:02310DFF05>Item<hex:03F2C725020203><hex:FFF201FE><hex:0208F201F8E4E80518FF11><hex:02310DFF05>Item<hex:03F2C726020203><hex:FFF201DE><hex:0208F201D8E4E80519FF11><hex:02310DFF05>Item<hex:03F2C727020203><hex:FFF201BE><hex:0208F201B8E4E8051AFF11><hex:02310DFF05>Item<hex:03F2C728020203><hex:FFF2019E><hex:0208F20198E4E8051CFF11><hex:02310DFF05>Item<hex:03F2C729020203><hex:FFF2017E><hex:0208F20178E4E8051DFF11><hex:02310DFF05>Item<hex:03F2C72A020203><hex:FFF2015E><hex:0208F20158E4E8051FFF11><hex:02310DFF05>Item<hex:03F2C72B020203><hex:FFF2013E><hex:0208F20138E4E80520FF11><hex:02310DFF05>Item<hex:03F2C72D020203><hex:FFF2011E><hex:0208F20118E4E80521FF11><hex:02310DFF05>Item<hex:03F2C72C020203><hex:FFF0FF><hex:0208F0FAE4E80522FF11><hex:02310DFF05>Item<hex:03F2C72E020203><hex:FFF0E1><hex:0208F0DCE4E80523FF11><hex:02310DFF05>Item<hex:03F2C72F020203><hex:FFC5><hex:0208C1E4E80524FF11><hex:02310DFF05>Item<hex:03F2C730020203><hex:FFA9><hex:0208A5E4E80526FF11><hex:02310DFF05>Item<hex:03F2C731020203><hex:FF8D><hex:020889E4E80527FF11><hex:02310DFF05>Item<hex:03F2C732020203><hex:FF71><hex:02086DE4E80528FF11><hex:02310DFF05>Item<hex:03F2C733020203><hex:FF55><hex:020851E4E80529FF11><hex:02310DFF05>Item<hex:03F2C734020203><hex:FF39><hex:020835E4E8052AFF11><hex:02310DFF05>Item<hex:03F2C735020203><hex:FF1D><hex:020819E4E8052BFF11><hex:02310DFF05>Item<hex:03F2C736020203><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03> in your inventory or Armoury Chest, deliver the knowledge crystal filled with martial memories to Gerolt."
25,"TEXT_KINGKW304_05505_TODO_01",""
26,"TEXT_KINGKW304_05505_TODO_02",""
27,"TEXT_KINGKW304_05505_TODO_03",""
28,"TEXT_KINGKW304_05505_TODO_04",""
29,"TEXT_KINGKW304_05505_TODO_05",""
30,"TEXT_KINGKW304_05505_TODO_06",""
31,"TEXT_KINGKW304_05505_TODO_07",""
32,"TEXT_KINGKW304_05505_TODO_08",""
33,"TEXT_KINGKW304_05505_TODO_09",""
34,"TEXT_KINGKW304_05505_TODO_10",""
35,"TEXT_KINGKW304_05505_TODO_11",""
36,"TEXT_KINGKW304_05505_TODO_12",""
37,"TEXT_KINGKW304_05505_TODO_13",""
38,"TEXT_KINGKW304_05505_TODO_14",""
39,"TEXT_KINGKW304_05505_TODO_15",""
40,"TEXT_KINGKW304_05505_TODO_16",""
41,"TEXT_KINGKW304_05505_TODO_17",""
42,"TEXT_KINGKW304_05505_TODO_18",""
43,"TEXT_KINGKW304_05505_TODO_19",""
44,"TEXT_KINGKW304_05505_TODO_20",""
45,"TEXT_KINGKW304_05505_TODO_21",""
46,"TEXT_KINGKW304_05505_TODO_22",""
47,"TEXT_KINGKW304_05505_TODO_23",""
48,"TEXT_KINGKW304_05505_GEROLT_000_001","With yer martial memories woven into the very fabric o' yer phantom weapon, it'll be <hex:021A020203>yours<hex:021A020103>─in the truest sense o' the word!"
49,"TEXT_KINGKW304_05505_BRIGID_000_005","When it comes to weaponry, one mustn't compromise. Let us see what true potential lies within your armaments!"
