key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_UI_TITLE","Ancient Record Appraisal"
1,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_UI_SUBTITLE",""
2,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_UI_NOITEM","There is nothing to display."
3,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_RESULT_UI_TITLE","Compensation"
4,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_RESULT_UI_SUBTITLE",""
5,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_RESULT_UI_NEXT","Next"
6,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_CONFIRM_SINGLE","Appraise <hex:02310CFF05>Item<hex:03E802020203>?<hex:02100103><hex:02100103><hex:022B12FF10><hex:02310CFF05>Item<hex:04E802030203><hex:03> remaining: <hex:022003E80403><hex:02100103>Attempts remaining: <hex:022003E80303>"
7,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_CONFIRM_MULTI","Appraise <hex:022003E80503> <hex:02310CFF05>Item<hex:04E802030203>?<hex:02100103><hex:02100103><hex:022B12FF10><hex:02310CFF05>Item<hex:04E802030203><hex:03> remaining: <hex:022003E80403><hex:02100103>Attempts remaining: <hex:022003E80303>"
